id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,pendidikan,jumlah_pengangguran,satuan,tahun
1616,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1079,ORANG,2024
1617,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD KE BAWAH,5151,ORANG,2024
1618,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,5891,ORANG,2024
1619,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (UMUM),9828,ORANG,2024
1620,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMA (KEJURUAN),16151,ORANG,2024
1621,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2795,ORANG,2024
1622,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SD KE BAWAH,11505,ORANG,2024
1623,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMP,7611,ORANG,2024
1624,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (UMUM),26076,ORANG,2024
1625,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SMA (KEJURUAN),15338,ORANG,2024
1626,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1492,ORANG,2024
1627,32,JAWA BARAT,3213,KABUPATEN SUBANG,SD KE BAWAH,5171,ORANG,2024
1628,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMP,14494,ORANG,2024
1629,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (UMUM),25145,ORANG,2024
1630,32,JAWA BARAT,3213,KABUPATEN SUBANG,SMA (KEJURUAN),16052,ORANG,2024
1631,32,JAWA BARAT,3213,KABUPATEN SUBANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,2398,ORANG,2024
1632,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SD KE BAWAH,7213,ORANG,2024
1633,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMP,9639,ORANG,2024
1634,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (UMUM),8023,ORANG,2024
1635,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SMA (KEJURUAN),13452,ORANG,2024
1636,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,525,ORANG,2024
1637,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SD KE BAWAH,6644,ORANG,2024
1638,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMP,20720,ORANG,2024
1639,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (UMUM),23925,ORANG,2024
1640,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SMA (KEJURUAN),40819,ORANG,2024
1641,32,JAWA BARAT,3215,KABUPATEN KARAWANG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,8296,ORANG,2024
1642,32,JAWA BARAT,3216,KABUPATEN BEKASI,SD KE BAWAH,16958,ORANG,2024
1643,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMP,5630,ORANG,2024
1644,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (UMUM),37550,ORANG,2024
1645,32,JAWA BARAT,3216,KABUPATEN BEKASI,SMA (KEJURUAN),68059,ORANG,2024
1646,32,JAWA BARAT,3216,KABUPATEN BEKASI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,14621,ORANG,2024
1647,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SD KE BAWAH,15277,ORANG,2024
1648,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMP,13299,ORANG,2024
1649,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (UMUM),20914,ORANG,2024
1650,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SMA (KEJURUAN),15019,ORANG,2024
1651,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1100,ORANG,2024
1652,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SD KE BAWAH,264,ORANG,2024
1653,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMP,869,ORANG,2024
1654,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (UMUM),1548,ORANG,2024
1655,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SMA (KEJURUAN),1699,ORANG,2024
1656,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,0,ORANG,2024
1657,32,JAWA BARAT,3271,KOTA BOGOR,SD KE BAWAH,11752,ORANG,2024
1658,32,JAWA BARAT,3271,KOTA BOGOR,SMP,4550,ORANG,2024
1659,32,JAWA BARAT,3271,KOTA BOGOR,SMA (UMUM),10572,ORANG,2024
1660,32,JAWA BARAT,3271,KOTA BOGOR,SMA (KEJURUAN),12971,ORANG,2024
1661,32,JAWA BARAT,3271,KOTA BOGOR,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,5857,ORANG,2024
1662,32,JAWA BARAT,3272,KOTA SUKABUMI,SD KE BAWAH,3183,ORANG,2024
1663,32,JAWA BARAT,3272,KOTA SUKABUMI,SMP,2766,ORANG,2024
1664,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (UMUM),3271,ORANG,2024
1665,32,JAWA BARAT,3272,KOTA SUKABUMI,SMA (KEJURUAN),3946,ORANG,2024
1666,32,JAWA BARAT,3272,KOTA SUKABUMI,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,1381,ORANG,2024
1667,32,JAWA BARAT,3273,KOTA BANDUNG,SD KE BAWAH,4107,ORANG,2024
1668,32,JAWA BARAT,3273,KOTA BANDUNG,SMP,3781,ORANG,2024
1669,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (UMUM),49197,ORANG,2024
1670,32,JAWA BARAT,3273,KOTA BANDUNG,SMA (KEJURUAN),19570,ORANG,2024
1671,32,JAWA BARAT,3273,KOTA BANDUNG,DIPLOMA I/II/III/AKADEMI/UNIVERSITAS,23655,ORANG,2024
1672,32,JAWA BARAT,3274,KOTA CIREBON,SD KE BAWAH,1111,ORANG,2024
1673,32,JAWA BARAT,3274,KOTA CIREBON,SMP,1248,ORANG,2024
1674,32,JAWA BARAT,3274,KOTA CIREBON,SMA (UMUM),5257,ORANG,2024
1675,32,JAWA BARAT,3274,KOTA CIREBON,SMA (KEJURUAN),1737,ORANG,2024
